"Language"	"Short Title of Eco Tip"	"Translation"	"The Eco Tip"	"Translation"	"Themes"	"About link"
"ro"	"Keep on the move! "	"Faceţi mişcare! "	"Instead of taking the car: walk, cycle, take the bus or use the underground. You will not only keep fit but also help reduce traffic, air pollution, noise and accidents."	"În loc să vă deplasaţi cu maşina: mergeţi pe jos, mergeţi cu bicicleta, luaţi autobuzul sau metroul. Nu numai că vă veţi menţine în formă, dar veţi contribui şi la reducerea traficului, a poluării aerului, a zgomotului şi a accidentelor."	"Air"	" http://www.eco-label.com/"
"ro"	"Got an errand to run? "	"Aveţi de făcut un comision? "	"Cars often pollute more on short trips when the motor is cold, so try to walk or cycle instead. "	"Automobilele poluează adesea mai mult în timpul deplasărilor scurte, când motorul este rece, aşa că încercaţi în schimb să mergeţi pe jos sau cu bicicleta. "	"Air"
"ro"	"Don’t skip regular check-ups of your car. "	"Nu omiteţi verificările periodice ale automobilului dumneavoastră. "	"Inspect your car regularly for the emissions it generates. Catalytic converters need regular maintenance."	"Inspectaţi-vă maşina cu regularitate pentru a verifica emisiile pe care le generează. Catalizatoarele necesită întreţinere periodică."	"Air"
"ro"	"Going to work? "	"Mergeţi la serviciu? "	"Consider carpooling or using public transport rather than your own car. If driving, ask around the office which of your colleagues lives near you and whether you can share lifts. "	"Luaţi în considerare folosirea în comun a unui singur automobil sau utilizarea mijloacelor de transport în comun în loc să mergeţi cu maşina proprie. Dacă mergeţi cu maşina, întrebaţi la birou care dintre colegi locuiesc în apropiere de dumneavoastră şi dacă puteţi să mergeţi împreună cu aceeaşi maşină. "	"Air"
"ro"	"Think twice before buying a new car. "	"Gândiţi-vă de două ori înainte de a vă cumpăra un automobil nou. "	"It might be more efficient to use alternatives for transport rather than keeping a car only for weekend trips."	"Ar putea fi mai eficient să folosiţi mijloace de transport alternative decât să păstraţi un automobil doar pentru deplasările din weekend."	"Air"
"ro"	"Use bicycle couriers! "	"Apelaţi la curieri pe biciclete! "	"If you run a business and need to deliver mail and parcels regularly around town, use a bicycle courier service if one is available. Bicycles bypass traffic; are quick; and you will contribute to the improvement of urban air quality in your area."	"În cazul în care conduceţi o afacere şi trebuie să livraţi corespondenţă şi colete cu regularitate prin oraş, apelaţi la un serviciu de curierat cu biciclete, dacă este disponibil. Bicicletele ocolesc traficul, sunt rapide, iar dumneavoastră veţi contribui la îmbunătăţirea calităţii aerului urban din regiunea dumneavoastră."	"Air"
"ro"	"Did you know that you can reduce air pollution by recycling your waste? "	"Ştiaţi că puteţi reduce poluarea aerului prin reciclarea deşeurilor? "	"By recycling glass, paper, batteries, engine oil and aluminium cans, these materials can be re-used, and you will reduce the volume of waste incinerated by up to 70%."	"Prin reciclarea sticlei, a hârtiei, a bateriilor, a uleiului de motor şi a cutiilor de aluminiu, aceste materiale pot fi refolosite şi veţi reduce volumul de deşeuri incinerate cu până la 70%."	"Air"
"ro"	"On very hot days use public transport rather than your car. "	"În zilele de caniculă circulaţi cu mijloacele de transport în comun şi nu cu automobilul dumneavoastră."	"Car exhaust emissions react with sunlight and heat to cause polluting gases such as tropospheric ozone. This is the main ingredient of poor air quality and photo-chemical smog, which can cause breathing difficulties. "	"Emisiile de gaze de eşapament ale automobilului reacţionează în contact cu lumina solară şi căldura rezultând gaze poluante precum ozonul troposferic. Acesta este principalul ingredient al calităţii inferioare a aerului şi al smogului fotochimic, putând provoca dificultăţi de respiraţie. "	"Air"
"ro"	"Think first before buying a Sport Utility Vehicle (SUV). "	"Gândiţi-vă mai întâi înainte de a cumpăra un vehicul sport utilitar (SUV). "	"In addition to being very expensive to run, SUVs are very fuel inefficient. They emit twice as much carbon monoxide, hydrocarbons and nitrogen dioxide as an average car. These chemicals contribute to air pollution as well as global warming!     "	"Pe lângă faptul că exploatarea lor este foarte costisitoare, SUV-urile sunt foarte ineficiente din punct de vedere al consumului de combustibil. Acestea emit de două ori mai mult monoxid de carbon, hidrocarburi şi dioxid de azot decât o maşină obişnuită. Aceste substanţe chimice contribuie la poluarea aerului, precum şi la încălzirea globală!     "	"Air, Climate change"
"ro"	"Turn off the tap!"	"Închideţi robinetul!"	"Avoid wasting water while brushing your teeth or shaving, and save up to 10 litres of water each time. Use a mug of water and turn the tap off so you only use what you need."	"Evitaţi să risipiţi apă în timp ce vă spălaţi pe dinţi sau vă bărbieriţi şi economisiţi până la 10 litri de apă de fiecare dată. În schimb, folosiţi o cană de apă şi închideţi robinetul pentru a folosi numai atâta apă de câtă aveţi nevoie."	"water "
"ro"	"Install a water meter to keep track of your water consumption. "	"Instalaţi un apometru pentru a urmări consumul de apă. "	"Households with meters tend to be more careful with their water-use and also end up saving money as well. "	"Familiile cu apometre au tendinţa de a fi mai atente la consumul de apă şi, de asemenea, ajung să economisească şi bani. "	"water, household consumption"
